gr_year,squirrel_id,N
SU_2009,10362,41
SU_2009,13658,37
SU_2009,13664,78
SU_2009,10133,114
SU_2009,10160,55
SU_2009,10735,35
SU_2009,11078,31
SU_2009,11079,30
SU_2009,11326,35
SU_2009,11308,24
KL_2010,10182,44
KL_2010,10285,188
KL_2010,10318,70
KL_2010,10342,242
KL_2010,11176,234
KL_2010,11272,28
KL_2010,11325,27
KL_2010,11344,23
KL_2010,10375,61
KL_2010,10461,30
KL_2010,10785,112
KL_2010,10818,24
KL_2010,11171,174
KL_2010,11256,176
KL_2010,10275,69
KL_2010,11150,91
KL_2010,11489,81
KL_2010,10177,30
KL_2010,10686,26
KL_2010,11266,58
KL_2010,13123,52
KL_2010,10212,54
KL_2010,10588,30
KL_2010,11882,30
KL_2010,11201,52
KL_2010,11254,76
KL_2010,10273,30
KL_2010,8760,25
KL_2010,10374,122
KL_2010,11460,50
KL_2010,11282,55
KL_2010,11537,24
KL_2010,10939,28
KL_2010,11281,37
KL_2010,11614,32
KL_2010,10784,30
KL_2010,12017,28
KL_2010,10531,53
SU_2010,13666,49
SU_2010,10325,45
SU_2010,10662,39
SU_2010,11501,26
SU_2010,10191,44
SU_2010,10616,22
SU_2010,10358,54
SU_2010,12139,82
SU_2010,10924,24
SU_2010,10946,23
SU_2010,10914,39
SU_2010,13667,27
SU_2010,11084,49
SU_2010,11534,44
SU_2010,11536,32
SU_2010,11078,55
SU_2010,11999,24
SU_2010,13687,39
KL_2011,10182,102
KL_2011,10818,76
KL_2011,11343,23
KL_2011,10318,61
KL_2011,10375,44
KL_2011,11150,108
KL_2011,11256,214
KL_2011,11619,80
KL_2011,11775,208
KL_2011,11896,249
KL_2011,10342,227
KL_2011,11266,23
KL_2011,11344,25
KL_2011,11460,26
KL_2011,11489,28
KL_2011,10374,104
KL_2011,10046,126
KL_2011,11537,281
KL_2011,13039,34
KL_2011,11176,87
KL_2011,12022,37
KL_2011,12628,155
KL_2011,12303,28
KL_2011,12625,24
KL_2011,10042,56
KL_2011,12422,81
KL_2011,11220,90
KL_2011,11225,24
KL_2011,11282,24
